ID,Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,Date sale price starts,Date sale price ends,Tax status,Tax class,In stock?,Stock,Backorders allowed?,Sold individually?,Weight (lbs),Length (in),Width (in),Height (in),Allow customer reviews?,Purchase note,Sale price,Regular price,Categories,Tags,Shipping class,Images,Download limit,Download expiry days,Parent,Grouped products,Upsells,Cross-sells,External URL,Button text,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Meta: _wpcom_is_markdown,Download 1 name,Download 1 URL,Download 2 name,Download 2 URL
0,variable,woo-vneck-tee,V-Neck T-Shirt,1,1,visible,"<p>A timeless wardrobe essential featuring a <strong>classic V-neck design</strong> that flatters every body type. Made from premium cotton blend for ultimate comfort and breathability.</p> <p>✓ Available in multiple colors<br>✓ Soft & comfortable fabric<br>✓ Perfect for layering</p>","<h3>Elevate Your Everyday Style</h3><p>Discover the perfect blend of comfort and sophistication with our <strong>Classic V-Neck T-Shirt</strong>. This versatile piece is designed to be your go-to choice for any occasion, from casual weekends to smart-casual office days.</p><h3>Premium Quality Fabric</h3><p>Crafted from a luxurious cotton blend, this t-shirt offers exceptional softness against your skin while providing excellent breathability. The fabric is carefully selected to maintain its shape and color even after multiple washes, ensuring long-lasting wear.</p><h3>Flattering V-Neck Design</h3><p>The classic V-neck cut elongates the neckline and creates a universally flattering silhouette that works for all body types. Whether worn alone or layered under a jacket, this design adds a touch of elegance to your outfit.</p><h3>Available in Multiple Colors & Sizes</h3><p>Choose from our carefully curated color palette including <strong>Blue, Green, and Red</strong>. Each shade is selected to complement various skin tones and personal styles. Available in Small, Medium, and Large sizes to ensure the perfect fit.</p><h3>Versatile Wardrobe Essential</h3><ul><li>Perfect for layering or wearing on its own</li><li>Pairs beautifully with jeans, chinos, or shorts</li><li>Suitable for all seasons</li><li>Easy care - machine washable</li><li>Maintains shape and color after washing</li></ul><h3>Specifications</h3><ul><li><strong>Material:</strong> Premium cotton blend</li><li><strong>Fit:</strong> Regular fit</li><li><strong>Neckline:</strong> Classic V-neck</li><li><strong>Care:</strong> Machine washable, tumble dry low</li></ul>",,,taxable,,1,,0,0,0.5,24,1,2,1,,,,Brandy Clothing > Brandy Tshirts,Brandy Demo,,"https://images.wpbrandy.com/uploads/wc-product-compress-img-vneck-tee-2.webp, https://images.wpbrandy.com/uploads/wc-product-compress-img-vnech-tee-green-1.webp, https://images.wpbrandy.com/uploads/wc-product-compress-img-vnech-tee-blue-1.webp",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Size,"Large, Medium, Small",1,1,1,,,,
0,variable,woo-hoodie,Hoodie,1,0,visible,"<p>Stay cozy and stylish with our <strong>premium pullover hoodie</strong>. Features a spacious kangaroo pocket and adjustable drawstring hood.</p> <p>✓ Soft fleece lining<br>✓ Multiple color options<br>✓ Unisex design<br>✓ Perfect for any season</p>","<h3>Ultimate Comfort Meets Modern Style</h3><p>Experience unparalleled comfort with our <strong>Premium Pullover Hoodie</strong>. Designed for those who value both style and coziness, this hoodie is your perfect companion for everything from morning coffee runs to evening hangouts with friends.</p><h3>Luxurious Fleece Interior</h3><p>The interior is lined with premium soft fleece that keeps you warm without overheating. The fabric is specially treated to resist pilling and maintain its plush texture wash after wash. You'll love how it feels against your skin from the first wear to the hundredth.</p><h3>Thoughtful Design Features</h3><p>Every detail has been carefully considered. The <strong>spacious kangaroo pocket</strong> provides ample room for your essentials or a cozy place for your hands. The adjustable drawstring hood allows you to customize your fit and protection from the elements.</p><h3>Versatile & Unisex</h3><p>Available in <strong>Blue, Green, and Red</strong> colorways, each carefully selected to suit various personal styles. The unisex design ensures a comfortable, relaxed fit that works for everyone. Optional logo customization available for a branded look.</p><h3>Key Features</h3><ul><li>Soft fleece lining for maximum warmth</li><li>Adjustable drawstring hood</li><li>Spacious kangaroo pocket</li><li>Ribbed cuffs and hem for better fit</li><li>Durable stitching throughout</li><li>Unisex relaxed fit</li><li>Available with or without logo</li></ul><h3>Care Instructions</h3><p>Machine wash cold with like colors. Tumble dry low. Do not bleach. Iron on low heat if needed.</p><h3>Perfect For</h3><ul><li>Casual everyday wear</li><li>Outdoor activities</li><li>Layering in colder weather</li><li>Lounging at home</li><li>Athletic warm-ups</li></ul>",,,taxable,,1,,0,0,1.5,10,8,3,1,,,,Brandy Clothing > Brandy Hoodies,Brandy Demo,,"https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-2.webp, https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-green-1.webp, https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-blue-1.webp, https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-with-logo-2.webp",,,,,,,,,0,Color,"Blue, Green, Red",1,1,Logo,"Yes, No",1,0,1,,,,
0,simple,woo-hoodie-with-logo,Hoodie with Logo,1,0,visible,"<p>Show your brand pride with this <strong>premium hoodie featuring our signature logo</strong>. Combines comfort with style in a vibrant blue color.</p> <p>✓ Premium quality fabric<br>✓ Eye-catching logo design<br>✓ Perfect for casual wear</p>","<h3>Stand Out with Branded Style</h3><p>Make a bold statement with our <strong>Signature Logo Hoodie</strong> in vibrant blue. This premium pullover combines the comfort you love with eye-catching branding that showcases your style and loyalty.</p><h3>Premium Construction</h3><p>Crafted from high-quality fabric blend, this hoodie offers exceptional durability and comfort. The material is soft to the touch yet sturdy enough to withstand daily wear and frequent washing. The vibrant blue color is fade-resistant and maintains its richness over time.</p><h3>Signature Logo Design</h3><p>The centerpiece of this hoodie is our <strong>iconic logo</strong>, prominently displayed on the chest. The logo is expertly applied using advanced printing techniques that ensure it won't crack, peel, or fade. It's a perfect way to show your brand affinity while looking effortlessly stylish.</p><h3>Comfort Features</h3><ul><li>Soft interior fleece lining</li><li>Adjustable drawstring hood for custom fit</li><li>Large front kangaroo pocket</li><li>Ribbed cuffs and waistband</li><li>Relaxed, comfortable fit</li></ul><h3>Styling Ideas</h3><p>This versatile hoodie pairs perfectly with jeans, joggers, or casual shorts. Layer it under a jacket for extra warmth or wear it on its own for a clean, casual look. It's ideal for weekend outings, casual Fridays, or relaxing at home.</p><h3>Product Details</h3><ul><li><strong>Color:</strong> Blue</li><li><strong>Logo:</strong> Prominent chest logo</li><li><strong>Fit:</strong> Relaxed, true to size</li><li><strong>Weight:</strong> Medium-weight fabric</li><li><strong>Care:</strong> Machine wash cold, tumble dry low</li></ul>",,,taxable,,1,,0,0,2,10,6,3,1,,,45,Brandy Clothing > Brandy Hoodies,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-with-logo-2.webp,,,,,,,,,0,Color,Blue,1,1,,,,,1,,,,
0,simple,woo-tshirt,T-Shirt,1,0,visible,"<p>Your everyday go-to tee crafted from <strong>100% premium cotton</strong>. This classic gray t-shirt offers unmatched comfort and versatility.</p> <p>✓ Breathable fabric<br>✓ Relaxed fit<br>✓ Easy to style<br>✓ Machine washable</p>","<h3>The Essential Classic Tee</h3><p>Every wardrobe needs that one perfect t-shirt you can always count on. Our <strong>Classic Gray T-Shirt</strong> is exactly that – a reliable, comfortable, and stylish piece that works for virtually any occasion.</p><h3>100% Premium Cotton</h3><p>We believe in quality, which is why this tee is made from <strong>100% premium cotton</strong>. The fabric is soft, breathable, and gets even better with each wash. Unlike synthetic blends, pure cotton allows your skin to breathe naturally, keeping you comfortable throughout the day.</p><h3>Perfect Neutral Shade</h3><p>The classic gray color is incredibly versatile and easy to style. It pairs effortlessly with jeans, chinos, shorts, or even under a blazer. The neutral tone won't clash with other colors in your wardrobe, making it a true workhorse piece.</p><h3>Comfortable Relaxed Fit</h3><p>Cut with a relaxed fit that's neither too tight nor too loose, this t-shirt provides freedom of movement while maintaining a clean silhouette. The crew neckline sits comfortably without feeling restrictive.</p><h3>Why You'll Love It</h3><ul><li>Incredibly soft and comfortable fabric</li><li>Breathable cotton keeps you cool</li><li>Versatile gray color matches everything</li><li>Maintains shape after washing</li><li>Pre-shrunk for consistent sizing</li><li>Reinforced shoulder seams for durability</li><li>Tag-free label for comfort</li></ul><h3>Styling Versatility</h3><p>Dress it up with chinos and a blazer, keep it casual with your favorite jeans, or go sporty with athletic shorts. This t-shirt adapts to your style needs seamlessly.</p><h3>Care Instructions</h3><p>Machine wash warm with like colors. Tumble dry medium. Can be ironed on medium heat if desired. Gets softer with every wash.</p>",,,taxable,,1,,0,0,0.8,8,6,1,1,,,18,Brandy Clothing > Brandy Tshirts,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-tshirt-2.webp,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
0,simple,woo-beanie,Beanie,1,0,visible,"<p>Keep warm in style with our <strong>cozy knit beanie</strong>. The vibrant red color adds a pop of personality to any winter outfit.</p> <p>✓ One size fits most<br>✓ Soft knit material<br>✓ Stretchy & comfortable<br>✓ Perfect for cold weather</p>","<h3>Warmth Meets Bold Style</h3><p>When the temperature drops, reach for our <strong>Vibrant Red Beanie</strong> to keep your head warm while making a stylish statement. This isn't just another winter accessory – it's a conversation starter that adds personality to any cold-weather outfit.</p><h3>Premium Knit Construction</h3><p>Expertly crafted from soft, high-quality knit material, this beanie provides excellent insulation without feeling bulky. The tight knit pattern traps warmth effectively while remaining breathable enough to prevent overheating during active wear.</p><h3>Eye-Catching Red Color</h3><p>Stand out from the crowd with this bold, vibrant red shade. The color is rich and saturated, maintaining its brightness even after multiple washes. It's perfect for adding a pop of color to neutral winter outfits or coordinating with your favorite winter jacket.</p><h3>Universal Fit</h3><p>Thanks to the stretchy knit fabric, this beanie comfortably fits most head sizes. It stretches to accommodate different head shapes without becoming loose or baggy. The fold-over cuff design allows you to adjust the fit and coverage to your preference.</p><h3>Features & Benefits</h3><ul><li>Soft, comfortable knit material</li><li>Excellent warmth retention</li><li>Stretchy fabric fits most sizes</li><li>Fold-over cuff for adjustable fit</li><li>Vibrant, fade-resistant red color</li><li>Lightweight and packable</li><li>Unisex design</li></ul><h3>Perfect For</h3><ul><li>Winter outdoor activities</li><li>Skiing and snowboarding</li><li>Daily commuting in cold weather</li><li>Casual weekend wear</li><li>Sporting events</li></ul><h3>Care & Maintenance</h3><p>Hand wash cold and lay flat to dry for best results. Can also be machine washed on gentle cycle in a mesh bag. Do not bleach or iron.</p>",,,taxable,,1,,0,0,0.2,4,5,0.5,1,,18,20,Brandy Clothing > Brandy Accessories,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-beanie-2.webp,,,,,,,,,0,Color,Red,1,1,,,,,1,,,,
0,simple,woo-belt,Belt,1,0,visible,"<p>Complete your look with this <strong>genuine leather belt</strong> featuring a sleek metal buckle. A versatile accessory for both casual and formal occasions.</p> <p>✓ Durable leather construction<br>✓ Adjustable sizing<br>✓ Classic design<br>✓ Perfect finishing touch</p>","<h3>The Perfect Finishing Touch</h3><p>No outfit is complete without the right accessories. Our <strong>Genuine Leather Belt</strong> is the versatile piece you need to pull any look together, from casual jeans-and-tee combinations to polished business casual ensembles.</p><h3>Premium Leather Craftsmanship</h3><p>Made from authentic, full-grain leather, this belt is built to last for years. The leather is carefully selected for its suppleness and durability, developing a beautiful patina over time that adds character and uniqueness to your belt. Unlike synthetic alternatives, genuine leather improves with age.</p><h3>Classic Metal Buckle</h3><p>The sleek metal buckle features a timeless design that works equally well for formal and casual occasions. The buckle mechanism is smooth and secure, holding your preferred fit reliably throughout the day. The polished finish resists tarnishing and maintains its attractive appearance.</p><h3>Versatility Redefined</h3><p>This belt seamlessly transitions from weekday work attire to weekend casual wear. Pair it with dress pants for the office, jeans for the weekend, or chinos for a smart-casual look. It's the kind of versatile accessory that simplifies your wardrobe decisions.</p><h3>Key Features</h3><ul><li>100% genuine full-grain leather</li><li>Classic metal buckle design</li><li>Adjustable sizing for perfect fit</li><li>Smooth edge finishing</li><li>Standard width suitable for most belt loops</li><li>Develops attractive patina over time</li><li>Available in classic colors</li></ul><h3>Sizing & Care</h3><p>Available in multiple sizes to ensure the perfect fit. To determine your size, measure around your waist where you typically wear your belt. For leather care, occasionally condition with leather cream to maintain suppleness. Wipe clean with a soft cloth as needed.</p>",,,taxable,,1,,0,0,1.2,12,2,1.5,1,,55,65,Brandy Clothing > Brandy Accessories,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-belt-2.webp,,,,,,,,,0,,,,,,,,,1,,,,
0,simple,woo-cap,Cap,1,1,visible,"<p>Shield yourself from the sun with this <strong>stylish baseball cap</strong> in a vibrant yellow shade. Features an adjustable strap for the perfect fit.</p> <p>✓ UV protection<br>✓ Breathable fabric<br>✓ Adjustable back strap<br>✓ Great for outdoor activities</p>","<h3>Sunshine Style & Protection</h3><p>Make a bold statement while protecting yourself from harmful UV rays with our <strong>Vibrant Yellow Baseball Cap</strong>. This isn't just headwear – it's a style statement that brings energy and positivity to any outfit.</p><h3>Eye-Catching Yellow Color</h3><p>The vibrant yellow shade is perfect for standing out in a crowd. Whether you're at a music festival, sporting event, or just running errands, this bright color adds personality and fun to your look. The color is fade-resistant, maintaining its brilliant hue even after extended sun exposure.</p><h3>Superior Sun Protection</h3><p>The structured brim provides excellent coverage, shielding your face and eyes from direct sunlight. The fabric is treated with UV protection to help safeguard your skin during outdoor activities. It's both a fashion piece and a practical sun protection tool.</p><h3>Breathable Comfort</h3><p>Designed with ventilation in mind, this cap features breathable fabric that promotes airflow, keeping your head cool even on hot summer days. The lightweight construction ensures you won't feel weighed down, making it perfect for all-day wear.</p><h3>Perfect Fit Guaranteed</h3><p>The adjustable back strap allows you to customize the fit to your exact head size. The strap mechanism is durable and easy to adjust, ensuring your cap stays comfortably in place during any activity.</p><h3>Features</h3><ul><li>Vibrant, fade-resistant yellow color</li><li>UV protection for sunny days</li><li>Breathable fabric construction</li><li>Structured brim for maximum sun protection</li><li>Adjustable back strap</li><li>Lightweight and comfortable</li><li>Unisex design</li></ul><h3>Perfect For</h3><ul><li>Beach trips and poolside lounging</li><li>Hiking and outdoor adventures</li><li>Sporting events and concerts</li><li>Daily casual wear</li><li>Running errands in style</li></ul>",,,taxable,,1,,0,0,0.6,8,6.5,4,1,,16,18,Brandy Clothing > Brandy Accessories,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-cap-2.webp,,,,,,,,,0,Color,Yellow,1,1,,,,,1,,,,
0,simple,woo-sunglasses,Sunglasses,1,1,visible,"<p>Protect your eyes in style with these <strong>modern polarized sunglasses</strong>. Perfect blend of fashion and functionality for sunny days.</p> <p>✓ 100% UV protection<br>✓ Polarized lenses<br>✓ Lightweight frame<br>✓ Unisex design<br>✓ Includes protective case</p>","<h3>Superior Eye Protection Meets Modern Style</h3><p>Experience the perfect fusion of fashion and function with our <strong>Premium Polarized Sunglasses</strong>. Designed for those who refuse to compromise between looking good and protecting their vision, these sunglasses deliver on both fronts.</p><h3>Advanced Polarized Lenses</h3><p>Our high-quality polarized lenses don't just block harmful UV rays – they eliminate glare from reflective surfaces like water, roads, and snow. This means clearer vision, reduced eye strain, and enhanced color perception. The <strong>100% UV400 protection</strong> shields your eyes from both UVA and UVB rays, providing complete protection for your precious eyesight.</p><h3>Lightweight Comfort</h3><p>Engineered with a lightweight yet durable frame, these sunglasses feel barely there on your face. The ergonomic design ensures they stay comfortably in place without pinching or sliding, even during active pursuits. You'll forget you're wearing them – until you notice how much better everything looks.</p><h3>Timeless Modern Design</h3><p>The sleek, contemporary frame design works with any face shape and personal style. Whether you're dressed up or keeping it casual, these sunglasses add a touch of sophistication to your look. The unisex styling ensures they look great on everyone.</p><h3>What Makes Them Special</h3><ul><li>100% UV400 protection blocks all harmful rays</li><li>Polarized lenses eliminate glare</li><li>Lightweight, durable frame construction</li><li>Scratch-resistant lens coating</li><li>Comfortable nose pads</li><li>Unisex modern styling</li><li>Comes with protective hard case</li><li>Includes cleaning cloth</li></ul><h3>Perfect For Every Occasion</h3><ul><li>Driving - reduced glare for safer travel</li><li>Beach and water sports</li><li>Hiking and outdoor adventures</li><li>Everyday wear</li><li>Sports and athletic activities</li></ul><h3>Care Instructions</h3><p>Store in the included protective case when not in use. Clean lenses with the provided microfiber cloth. Avoid using harsh chemicals or abrasive materials that could damage the lens coating.</p>",,,taxable,,1,,0,0,0.2,4,1.4,1,1,,,90,Brandy Clothing > Brandy Accessories,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-sunglasses-2.webp,,,,,,,,,0,,,,,,,,,1,,,,
0,simple,woo-hoodie-with-pocket,Hoodie with Pocket,1,1,hidden,"<p>Experience ultimate comfort with this <strong>cozy gray hoodie featuring a spacious front pocket</strong>. Perfect for keeping your essentials close and your hands warm.</p> <p>✓ Large kangaroo pocket<br>✓ Soft interior lining<br>✓ Durable construction<br>✓ Classic gray color</p>","<h3>Comfort & Functionality Combined</h3><p>Our <strong>Gray Hoodie with Pocket</strong> redefines what comfort means. This isn't just another hoodie – it's a carefully designed piece that combines ultimate coziness with practical functionality for your everyday life.</p><h3>Spacious Kangaroo Pocket</h3><p>The standout feature of this hoodie is its <strong>extra-large front kangaroo pocket</strong>. Big enough to hold your phone, keys, wallet, and even a small tablet, this pocket keeps all your essentials within easy reach. The deep design ensures items stay secure, even when you're on the move.</p><h3>Premium Comfort</h3><p>Crafted from a premium fabric blend with a soft fleece interior, this hoodie wraps you in warmth without bulk. The gray color is perfect for everyday wear – neutral enough to match with anything, yet stylish enough to stand on its own.</p><h3>Built to Last</h3><p>Reinforced stitching at stress points, quality drawstrings, and durable fabric ensure this hoodie will be part of your wardrobe for years to come. The fabric maintains its softness and shape wash after wash.</p><h3>Key Features</h3><ul><li>Extra-large kangaroo pocket</li><li>Soft fleece-lined interior</li><li>Adjustable drawstring hood</li><li>Classic gray color</li><li>Ribbed cuffs and waistband</li><li>Relaxed, comfortable fit</li><li>Reinforced construction</li></ul><h3>Perfect For</h3><ul><li>Lounging at home</li><li>Running errands</li><li>Casual outings</li><li>Layering in cold weather</li><li>Travel days</li></ul>",,,taxable,,1,,0,0,3,10,8,2,1,,35,45,Brandy Clothing > Brandy Hoodies,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-with-pocket-2.webp,,,,,,,,,0,Color,Gray,1,1,,,,,1,,,,
0,simple,woo-hoodie-with-zipper,Hoodie with Zipper,1,1,visible,"<p>Versatile and practical, this <strong>zip-up hoodie</strong> makes layering easy. Features a full-length zipper and hood for adjustable comfort.</p> <p>✓ Full-zip front closure<br>✓ Side pockets<br>✓ Easy on and off<br>✓ Perfect for layering<br>✓ Comfortable fit</p>","<h3>The Ultimate Layering Piece</h3><p>Introducing our <strong>Full-Zip Hoodie</strong> – the versatile essential that makes getting dressed effortless. Whether you're heading out for a morning jog or meeting friends for coffee, this hoodie adapts to your needs with ease.</p><h3>Convenient Full-Zip Design</h3><p>Unlike traditional pullover hoodies, the <strong>full-length front zipper</strong> makes this piece incredibly easy to wear. Put it on or take it off without messing up your hair. Adjust the zipper for temperature control – zip it all the way up for maximum warmth or leave it open for a casual, laid-back look.</p><h3>Perfect for Layering</h3><p>The zip-up design makes this hoodie ideal for layering. Wear it over a t-shirt on cool days, or layer it under a jacket when temperatures really drop. The fitted design ensures it won't add unnecessary bulk under outerwear.</p><h3>Practical Features</h3><p>Two side pockets provide convenient storage for your hands or small essentials. The adjustable hood offers extra protection from wind and light rain. Ribbed cuffs and hem help seal in warmth while maintaining a clean silhouette.</p><h3>Quality Construction</h3><p>Made from durable fabric that resists pilling and maintains its shape. The zipper is heavy-duty and smooth-operating, designed to withstand daily use without catching or breaking.</p><h3>Features & Benefits</h3><ul><li>Full-length front zipper</li><li>Two convenient side pockets</li><li>Adjustable drawstring hood</li><li>Ribbed cuffs and hem</li><li>Durable, pill-resistant fabric</li><li>Perfect for layering</li><li>Easy care - machine washable</li></ul><h3>Styling Suggestions</h3><p>Pair with joggers for athletic activities, jeans for casual outings, or layer under a jacket for added warmth. The versatile design works for virtually any casual occasion.</p>",,,taxable,,1,,0,0,2,8,6,2,1,,,45,Brandy Clothing > Brandy Hoodies,Brandy Demo,,https://images.wpbrandy.com/uploads/wc-product-compress-img-hoodie-with-zipper-2.webp,,,,,,,,,0,,,,,,,,,1,,,,
